Date,Number,Date,delta
2021-08-17,37133358,2021-08-17,152131
2021-08-18,37291996,2021-08-18,158638
2021-08-19,37449067,2021-08-19,157071
2021-08-20,37694690,2021-08-20,245623
2021-08-21,37760624,2021-08-21,65934
2021-08-22,37796595,2021-08-22,35971
2021-08-23,38034614,2021-08-23,238019
2021-08-24,38191306,2021-08-24,156692
2021-08-25,38361002,2021-08-25,169696
2021-08-26,38545443,2021-08-26,184441
2021-08-27,38788454,2021-08-27,243011
2021-08-28,38849067,2021-08-28,60613
2021-08-29,38891187,2021-08-29,42120
2021-08-30,39151147,2021-08-30,259960
2021-08-31,39321999,2021-08-31,170852
2021-09-01,39523951,2021-09-01,201952
2021-09-02,39699776,2021-09-02,175825
2021-09-03,39934624,2021-09-03,234848
2021-09-04,39999068,2021-09-04,64444
2021-09-05,40039356,2021-09-05,40288
2021-09-06,40114538,2021-09-06,75182
2021-09-07,40391566,2021-09-07,277028
2021-09-08,40573789,2021-09-08,182223
2021-09-09,40733593,2021-09-09,159804
2021-09-10,40961390,2021-09-10,227797
2021-09-11,41025645,2021-09-11,64255
2021-09-12,41061504,2021-09-12,35859
2021-09-13,41322259,2021-09-13,260755
2021-09-14,41467287,2021-09-14,145028
2021-09-15,41638554,2021-09-15,171267
2021-09-16,41793484,2021-09-16,154930
2021-09-17,42001556,2021-09-17,208072
2021-09-18,42058315,2021-09-18,56759
2021-09-19,42094648,2021-09-19,36333
2021-09-20,42296425,2021-09-20,201777
2021-09-21,42417661,2021-09-21,121236
2021-09-22,42550081,2021-09-22,132420
2021-09-23,42675919,2021-09-23,125838
2021-09-24,42853371,2021-09-24,177452
2021-09-25,42900903,2021-09-25,47532
2021-09-26,42931861,2021-09-26,30958
2021-09-27,43116877,2021-09-27,185016
2021-09-28,43226482,2021-09-28,109605
2021-09-29,43349749,2021-09-29,123267
2021-09-30,43460343,2021-09-30,110594
2021-10-01,43618627,2021-10-01,158284
2021-10-02,43657833,2021-10-02,39206
2021-10-03,43683048,2021-10-03,25215
2021-10-04,43852255,2021-10-04,169207
2021-10-05,43947489,2021-10-05,95234
2021-10-06,44058827,2021-10-06,111338
2021-10-07,44158910,2021-10-07,100083
2021-10-08,44290052,2021-10-08,131142
2021-10-09,44317989,2021-10-09,27937
2021-10-10,44340183,2021-10-10,22194
2021-10-11,44456393,2021-10-11,116210
2021-10-12,44562693,2021-10-12,106300
2021-10-13,44684150,2021-10-13,121457
2021-10-14,44770279,2021-10-14,86129
2021-10-15,44884598,2021-10-15,114319
2021-10-16,44916737,2021-10-16,32139
2021-10-17,44934357,2021-10-17,17620
2021-10-18,45050910,2021-10-18,116553
2021-10-19,45132148,2021-10-19,81238
2021-10-20,45220898,2021-10-20,88750
2021-10-21,45301044,2021-10-21,80146
2021-10-22,45400466,2021-10-22,99422
2021-10-23,45427464,2021-10-23,26998
2021-10-24,45444260,2021-10-24,16796
2021-10-25,45547158,2021-10-25,102898
2021-10-26,45627021,2021-10-26,79863
2021-10-27,45726714,2021-10-27,99693
